C.CC(=O)Nc1ccccc1,11,6,C.CC(O)NC1CCCCC1,,F2
C.CC(=O)Nc1cccc(N[SH](=O)=O)c1,15,6,C.CC(O)NC1CCCC(N[SH](O)O)C1,,F2
CC(=O)Nc1cccc(N[SH](=O)=O)c1,14,6,CC(O)NC1CCCC(N[SH](O)O)C1,,F2
CC(=O)Nc1cccc(NS(=O)(=O)c2ccn[nH]2)c1,19,11,CC(O)NC1CCCC(NS(O)(O)C2CCCC2)C1,,F2
CCn1cc(CC(=O)Nc2cccc(NC(C)=O)c2)nn1,21,11,CCC1CCC(CC(O)NC2CCCC(NC(C)O)C2)C1,Z2945556750,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)Cc2c[nH]nn2)c1,19,11,CC(O)NC1CCCC(NC(O)CC2CCCC2)C1,,F2
O=C(Cc1c[nH]nn1)Nc1ccccc1,15,11,OC(CC1CCCC1)NC1CCCCC1,,F2
c1c[nH]nn1.c1ccccc1,11,11,C1CCCC1.C1CCCCC1,,F2
c1c[nH]nn1,5,5,C1CCCC1,,F2
NC(=O)Cc1c[nH]nn1,9,5,NC(O)CC1CCCC1,,F2
CC(N)=O.NC(=O)Cc1c[nH]nn1,13,5,CC(N)O.NC(O)CC1CCCC1,,F2
CC(N)=O.c1c[nH]nn1,9,5,C1CCCC1.CC(N)O,,F2
CC(N)=O.CC(N)=O,8,0,CC(N)O.CC(N)O,,F2
CC(=O)Nc1ccccc1.c1c[nH]nn1,15,11,C1CCCC1.CC(O)NC1CCCCC1,,F2
CC(=O)Nc1cccc(NC(C)=O)c1,14,6,CC(O)NC1CCCC(NC(C)O)C1,,F2
CC.CC(=O)Nc1cccc(NC(C)=O)c1,16,6,CC.CC(O)NC1CCCC(NC(C)O)C1,,F2
CC.CC(=O)Nc1ccccc1,12,6,CC.CC(O)NC1CCCCC1,,F2
CC.c1ccccc1,8,6,C1CCCCC1.CC,,F2
CC,2,0,CC,,F2
CC.CC(N)=O,6,0,CC.CC(N)O,,F2
CC.CC(N)=O.CC(N)=O,10,0,CC.CC(N)O.CC(N)O,,F2
CC(=O)Nc1ccccc1.CCn1ccnn1,17,11,CC(O)NC1CCCCC1.CCC1CCCC1,,F2
CCn1ccnn1.c1ccccc1,13,11,C1CCCCC1.CCC1CCCC1,,F2
CCn1ccnn1,7,5,CCC1CCCC1,,F2
CC(N)=O.CCn1ccnn1,11,5,CC(N)O.CCC1CCCC1,,F2
CC(N)=O.CCn1cc(CC(N)=O)nn1,15,5,CC(N)O.CCC1CCC(CC(N)O)C1,,F2
CCn1cc(CC(N)=O)nn1,11,5,CCC1CCC(CC(N)O)C1,,F2
CCn1cc(CC(=O)Nc2ccccc2)nn1,17,11,CCC1CCC(CC(O)NC2CCCCC2)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CN(C(C)=O)CCO2)c1,22,12,CC(O)NC1CCCC(NC(O)C2CCCC(C(C)O)C2)C1,Z2945556731,EM;MOL;F2
